Time_Seconds,DL_bitrate
0.0,11.877
1.0,10.278
2.0,9.573
3.0,11.989
4.0,11.273
5.0,11.743
6.0,12.212
7.0,12.324
9.0,10.322
10.0,9.059
11.0,12.693
12.0,12.414
13.0,11.195
14.0,11.922
15.0,12.749
16.0,14.002
18.0,14.103
19.0,15.601
20.0,16.373
21.0,21.596
22.0,26.282
23.0,32.355
24.0,31.952
25.0,28.921
27.0,31.091
28.0,32.556
29.0,33.686
30.0,27.009
31.0,19.381
32.0,13.387
33.0,14.36
34.0,4.495
35.0,10.3
37.0,16.127
38.0,13.275
39.0,15.109
40.0,23.217
41.0,24.772
42.0,17.681
43.0,17.346
44.0,21.204
45.0,37.705
47.0,17.983
48.0,17.022
49.0,19.896
50.0,17.122
51.0,18.375
52.0,34.502
53.0,29.111
54.0,36.885
55.0,14.706
57.0,16.462
58.0,20.198
59.0,13.096
60.0,10.725
61.0,17.838
62.0,12.458
63.0,11.083
64.0,10.96
66.0,11.284
67.0,12.235
68.0,13.051
69.0,14.695
70.0,12.861
71.0,14.885
72.0,15.702
73.0,15.926
74.0,16.194
76.0,16.082
77.0,12.391
78.0,16.328
79.0,15.187
80.0,16.563
81.0,14.293
82.0,15.389
83.0,13.476
85.0,12.38
86.0,10.859
87.0,13.834
88.0,1.711
89.0,9.562
90.0,10.2
91.0,10.837
92.0,8.242
94.0,8.164
95.0,11.821
96.0,12.928
97.0,14.114
98.0,10.814
99.0,11.799
100.0,10.848
101.0,11.855
103.0,10.199
104.0,11.318
105.0,9.193
106.0,12.089
107.0,9.89
108.0,9.26
109.0,12.369
110.0,12.19
111.0,14.114
113.0,14.203
114.0,12.123
115.0,11.139
116.0,8.388
117.0,8.991
118.0,10.177
119.0,7.057
120.0,6.956
122.0,7.728
123.0,7.269
124.0,8.13
125.0,7.247
126.0,8.186
127.0,8.22
128.0,7.314
129.0,8.082
130.0,8.074
132.0,5.245
133.0,7.157
134.0,10.132
135.0,13.711
136.0,19.75
137.0,25.756
138.0,15.154
139.0,14.382
141.0,15.411
142.0,16.395
143.0,14.897
144.0,14.874
145.0,17.458
146.0,16.697
147.0,18.095
148.0,18.006
150.0,18.531
151.0,17.402
152.0,17.648
153.0,14.695
154.0,16.227
155.0,10.3
156.0,11.497
157.0,12.671
158.0,11.094
160.0,12.078
161.0,13.588
162.0,12.011
163.0,9.014
164.0,9.819
165.0,10.49
166.0,12.369
167.0,12.862
169.0,14.203
170.0,16.932
171.0,24.828
172.0,33.887
173.0,42.011
174.0,39.971
175.0,37.153
176.0,32.523
177.0,32.925
178.0,40.642
179.0,39.278
181.0,36.068
182.0,34.625
183.0,34.223
184.0,41.403
185.0,35.609
186.0,37.197
187.0,37.444
188.0,33.373
189.0,31.896
190.0,26.226
191.0,29.816
193.0,21.696
194.0,24.929
195.0,25.242
196.0,20.891
197.0,22.166
198.0,24.906
199.0,27.456
200.0,24.362
201.0,24.112
202.0,27.59
203.0,29.346
205.0,22.267
206.0,26.685
207.0,22.916
208.0,23.419
209.0,24.246
210.0,23.234
211.0,26.137
212.0,25.857
213.0,25.812
214.0,32.221
216.0,39.468
217.0,41.459
218.0,43.796
219.0,33.328
220.0,29.234
221.0,39.87
222.0,31.27
223.0,33.574
