Time_Seconds,DL_bitrate
0.0,0.072
1.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
5.0,3.434
6.0,27.631
7.0,31.414
8.0,29.997
10.0,45.685
11.0,185.367
12.0,175.609
13.0,159.747
14.0,165.814
15.0,178.035
16.0,190.264
17.0,79.01
18.0,0.002
19.0,0.002
20.0,21.94
21.0,22.254
22.0,40.424
23.0,153.318
24.0,159.331
25.0,157.899
26.0,162.756
27.0,163.776
29.0,279.678
31.0,166.645
31.0,222.253
32.0,0.0
32.0,0.0
33.0,6.997
34.0,29.871
35.0,31.879
36.0,31.015
37.0,159.04
39.0,202.205
40.0,203.437
41.0,211.206
42.0,211.928
43.0,221.852
45.0,67.874
46.0,0.002
46.0,0.002
47.0,24.32
49.0,23.853
50.0,23.72
51.0,23.809
52.0,24.167
53.0,24.07
54.0,24.169
55.0,25.306
57.0,24.158
59.0,14.472
60.0,0.002
60.0,0.002
61.0,13.003
62.0,18.164
63.0,19.216
65.0,19.411
66.0,20.959
67.0,20.041
68.0,20.272
69.0,19.59
70.0,19.688
71.0,19.764
72.0,17.822
74.0,0.0
74.0,0.0
75.0,11.375
76.0,23.488
77.0,23.311
78.0,22.777
79.0,43.375
80.0,201.641
81.0,187.045
82.0,249.825
84.0,184.298
85.0,217.767
87.0,76.668
88.0,0.002
88.0,0.002
89.0,75.742
90.0,200.481
91.0,240.129
92.0,207.151
93.0,176.41
94.0,220.823
96.0,185.093
97.0,181.087
98.0,242.904
99.0,192.304
101.0,18.71
102.0,18.71
102.0,1.659
103.0,69.159
104.0,95.71
105.0,127.324
106.0,205.049
108.0,239.899
109.0,199.522
110.0,198.034
111.0,223.592
112.0,205.168
113.0,196.022
114.0,158.842
115.0,0.001
116.0,0.001
116.0,5.72
117.0,16.634
119.0,24.371
120.0,102.998
121.0,138.31
122.0,136.903
123.0,130.888
124.0,136.678
125.0,135.461
126.0,141.124
127.0,128.64
129.0,33.392
129.0,33.392
130.0,0.332
131.0,40.358
132.0,94.218
133.0,164.064
134.0,220.637
135.0,146.887
136.0,238.993
137.0,189.829
139.0,177.026
140.0,202.205
141.0,225.289
142.0,175.128
143.0,0.0
143.0,0.0
144.0,7.602
145.0,28.822
146.0,29.825
147.0,135.517
148.0,245.18
149.0,222.824
150.0,217.517
151.0,228.286
152.0,184.372
154.0,247.854
156.0,166.518
157.0,0.0
157.0,0.0
158.0,8.68
159.0,19.635
160.0,19.815
161.0,33.258
162.0,125.987
164.0,194.558
165.0,203.981
166.0,198.33
167.0,228.337
168.0,159.083
170.0,43.967
171.0,0.003
171.0,0.003
172.0,18.568
173.0,20.114
175.0,19.847
176.0,19.972
177.0,20.097
178.0,19.289
179.0,18.77
180.0,19.959
181.0,19.418
184.0,48.696
185.0,0.001
185.0,0.001
186.0,48.879
187.0,89.494
188.0,196.196
189.0,225.998
190.0,162.357
191.0,152.976
193.0,98.423
194.0,133.248
195.0,161.15
196.0,143.42
198.0,6.615
199.0,6.615
199.0,3.796
200.0,37.196
201.0,43.201
203.0,33.109
204.0,56.985
205.0,61.606
206.0,66.879
207.0,71.811
208.0,75.745
209.0,75.754
210.0,59.636
212.0,48.338
213.0,0.002
213.0,0.002
214.0,15.373
215.0,33.92
216.0,36.561
217.0,59.887
218.0,70.32
219.0,61.277
220.0,71.525
222.0,74.901
223.0,40.669
224.0,44.096
225.0,55.666
225.0,55.666
226.0,11.774
227.0,11.774
227.0,12.302
228.0,46.57
229.0,60.963
230.0,57.62
232.0,54.677
233.0,71.928
234.0,66.695
235.0,66.251
236.0,86.462
237.0,55.914
238.0,85.887
239.0,38.639
240.0,0.002
241.0,0.002
242.0,15.478
243.0,15.519
244.0,17.193
245.0,29.022
246.0,55.587
247.0,28.581
248.0,32.992
249.0,26.889
251.0,17.151
253.0,28.064
253.0,33.157
254.0,0.001
254.0,0.001
255.0,5.991
256.0,13.035
257.0,13.176
258.0,15.011
259.0,24.101
261.0,32.033
262.0,44.231
263.0,35.101
264.0,36.187
265.0,30.462
267.0,18.587
268.0,18.587
268.0,0.002
270.0,10.398
271.0,14.76
272.0,16.964
273.0,36.364
274.0,36.515
275.0,41.591
276.0,56.566
277.0,52.747
278.0,33.809
279.0,39.961
281.0,26.619
282.0,0.001
282.0,0.001
283.0,5.854
284.0,26.18
285.0,48.367
286.0,41.735
287.0,37.277
288.0,50.572
289.0,58.82
291.0,28.607
292.0,46.997
293.0,49.389
295.0,39.552
296.0,39.552
296.0,0.113
297.0,1.114
298.0,4.658
300.0,7.709
301.0,10.187
302.0,9.375
303.0,13.974
304.0,17.75
305.0,23.591
306.0,28.874
307.0,6.519
309.0,8.193
310.0,0.002
310.0,0.002
311.0,9.668
312.0,14.613
313.0,17.703
314.0,16.208
315.0,17.974
316.0,17.692
317.0,31.92
319.0,63.268
320.0,70.081
321.0,84.951
323.0,19.007
324.0,19.007
324.0,2.293
325.0,17.432
326.0,36.959
327.0,50.973
329.0,4.136
330.0,19.877
331.0,70.689
332.0,50.554
333.0,53.811
334.0,58.658
335.0,35.79
336.0,37.882
337.0,0.002
338.0,0.002
339.0,7.652
340.0,16.952
341.0,18.52
342.0,18.223
343.0,17.454
344.0,18.269
345.0,17.206
346.0,17.862
347.0,17.265
349.0,16.615
351.0,1.904
352.0,1.904
352.0,1.901
353.0,17.575
354.0,17.305
355.0,17.105
356.0,17.699
357.0,17.773
359.0,16.883
360.0,15.844
361.0,16.963
362.0,17.455
363.0,17.53
364.0,8.897
365.0,0.002
365.0,0.002
366.0,8.502
367.0,14.775
369.0,15.538
370.0,15.176
371.0,14.785
372.0,17.362
373.0,17.084
374.0,16.801
375.0,16.609
376.0,17.004
377.0,16.913
379.0,1.192
379.0,1.192
380.0,4.399
381.0,14.684
382.0,15.166
383.0,10.939
384.0,9.576
385.0,14.702
386.0,15.729
388.0,14.801
389.0,14.918
390.0,17.773
392.0,26.365
393.0,0.002
393.0,0.002
394.0,14.631
395.0,19.997
396.0,17.931
398.0,17.74
399.0,17.658
400.0,18.418
401.0,16.248
402.0,17.982
403.0,19.307
404.0,18.439
405.0,15.237
406.0,0.0
407.0,0.0
408.0,4.259
409.0,12.524
410.0,16.334
411.0,14.66
412.0,17.434
413.0,42.15
414.0,70.064
415.0,53.463
416.0,51.425
418.0,51.379
420.0,42.964
421.0,0.003
421.0,0.003
422.0,13.078
423.0,34.808
424.0,42.63
425.0,54.307
426.0,49.911
428.0,49.072
429.0,65.954
430.0,47.257
431.0,54.413
432.0,52.538
