Time_Seconds,DL_bitrate,Network_Type
0,8.678,4G
1.0,9.193,4G
2.0,8.947,4G
3.0,11.922,4G
6.0,6.753,5G
7.0,0.0,5G
8.0,0.0,5G
9.0,0.002,5G
12.0,2.393,4G
13.0,1.431,4G
14.0,2.885,4G
15.0,2.482,4G
18.0,0.0,4G
19.0,0.0,4G
19.0,0.0,4G
20.0,0.0,4G
21.0,0.0,4G
25.0,11.273,4G
26.0,7.616,4G
27.0,13.376,4G
28.0,23.206,4G
31.0,2.48538567223,3G
32.00200000000018,1.98144510978,3G
33.003000000000156,2.65673526474,3G
34.011000000000195,2.38222222222,3G
37.01600000000053,52.884,5G
38.01600000000053,84.783,5G
39.01600000000053,72.89,5G
40.01600000000053,80.923,5G
43.01600000000053,3.09879365079,3G
44.01700000000051,2.01622377622,3G
45.02600000000052,2.23885827552,3G
46.0270000000005,3.41565634366,3G
49.038000000000466,8.537,5G
50.038000000000466,6.173,5G
51.038000000000466,4.342,5G
53.038000000000466,9.18,5G
56.038000000000466,35.14,4G
57.038000000000466,19.728,4G
58.038000000000466,33.317,4G
59.038000000000466,31.55,4G
62.038000000000466,206.57,5G
63.038000000000466,36.201,5G
64.03800000000047,22.661,5G
66.03800000000047,24.302,5G
69.03800000000047,1.733,4G
70.03800000000047,1.04,4G
71.03800000000047,1.632,4G
72.03800000000047,1.878,4G
75.03800000000047,143.957,5G
77.03800000000047,152.932,5G
79.03800000000047,89.801,5G
81.03800000000047,2.192,4G
82.03800000000047,3.511,4G
83.03800000000047,2.896,4G
84.03800000000047,7.045,4G
87.03800000000047,3.064,4G
88.03800000000047,0.011,4G
89.03800000000047,1.543,4G
90.03800000000047,3.05,4G
93.03800000000047,292.128,5G
94.03800000000047,270.035,5G
95.03800000000047,353.379,5G
96.03800000000047,351.217,5G
99.03800000000047,0.0,4G
100.03800000000047,0.0,4G
101.03800000000047,0.0,4G
102.03800000000047,0.0,4G
105.03800000000047,1.42328358209,3G
106.04599999999846,1.49828571429,3G
107.05799999999726,1.28689328063,3G
108.06600000000253,1.29650793651,3G
111.09399999999732,1.96436363636,3G
112.24299999999675,1.84563272411,3G
113.25399999999718,1.65227299703,3G
114.25499999999738,2.16474725275,3G
117.56399999999667,21.801,5G
119.56399999999667,21.677,5G
120.56399999999667,20.882,5G
122.56399999999667,1.632,4G
123.56399999999667,0.514,4G
124.56399999999667,1.688,4G
126.56399999999667,0.0,4G
129.56399999999667,0.981650793651,3G
130.5849999999973,1.23267384917,3G
131.59599999999955,1.09331750742,3G
132.60499999999774,0.796289395441,3G
135.65800000000127,3.746,4G
136.65800000000127,2.874,4G
137.65800000000127,2.952,4G
138.65800000000127,3.992,4G
141.65800000000127,2.807,4G
142.65800000000127,1.565,4G
143.65800000000127,3.042,4G
144.65800000000127,2.65,4G
147.65800000000127,1.66868910891,3G
148.66800000000148,2.69173861386,3G
149.6780000000008,3.58026138614,3G
150.688000000001,3.60193267327,3G
153.71800000000076,0.0,4G
155.71800000000076,0.0,4G
156.71800000000076,0.0,4G
158.71800000000076,2.09857342657,3G
159.85699999999633,1.93406145742,3G
160.86699999999837,3.17595247525,3G
161.86799999999857,2.26817182817,3G
165.15599999999176,0.994909090909,3G
166.2439999999915,0.899411764706,3G
167.25599999999395,1.15712252964,3G
168.27499999999418,1.13843375859,3G
171.4629999999961,0.001,5G
171.4629999999961,0.001,5G
172.4629999999961,9.726,5G
173.4629999999961,23.836,5G
174.4629999999961,24.511,5G
177.4629999999961,1.476,5G
178.4629999999961,1.146,5G
180.4629999999961,1.579,5G
181.4629999999961,2.035,5G
185.4629999999961,9.572,5G
186.4629999999961,5.975,5G
187.4629999999961,7.282,5G
188.4629999999961,12.048,5G
191.4629999999961,3.455,4G
192.4629999999961,1.867,4G
193.4629999999961,2.449,4G
194.4629999999961,2.717,4G
197.4629999999961,0.875215686275,3G
198.68299999999545,0.941960655738,3G
199.70199999999568,0.826975466143,3G
200.87199999999575,0.638413675214,3G
204.33099999999467,1.28249836066,3G
205.3349999999955,1.43896414343,3G
206.3379999999961,1.47409770688,3G
207.34299999999712,1.5367960199,3G
210.35399999999936,6.9,4G
210.35399999999936,6.9,4G
211.35399999999936,6.14,4G
212.35399999999936,6.229,4G
213.35399999999936,13.141,4G
216.35399999999936,10.071,5G
216.35399999999936,10.071,5G
217.35399999999936,6.536,5G
218.35399999999936,8.347,5G
219.35399999999936,13.973,5G
222.35399999999936,0.0,5G
222.35399999999936,0.0,5G
223.35399999999936,9.423,5G
224.35399999999936,30.575,5G
225.35399999999936,32.284,5G
228.35399999999936,1.13774257426,3G
229.36099999999897,0.818137040715,3G
230.6839999999993,0.586001511716,3G
231.6949999999988,0.638670623145,3G
235.03199999999833,2.39265882353,3G
236.03299999999854,2.27861738262,3G
237.04199999999855,2.34732210109,3G
238.05199999999877,2.19963564356,3G
241.0629999999992,26.237,4G
242.0629999999992,26.875,4G
243.0629999999992,22.11,4G
244.0629999999992,20.231,4G
247.0629999999992,87.48,5G
248.0629999999992,91.685,5G
249.0629999999992,51.059,5G
250.0629999999992,0.002,5G
253.0629999999992,0.737554013875,3G
254.0639999999994,0.533722277722,3G
255.08499999999913,0.332285994123,3G
256.10199999999895,0.860884955752,3G
259.1249999999991,3.819,5G
260.1249999999991,20.975,5G
261.1249999999991,71.935,5G
262.1249999999991,20.596,5G
265.1249999999991,2.17162772277,3G
266.1259999999993,2.31781018981,3G
267.1349999999975,2.01108424182,3G
268.1949999999988,1.94529811321,3G
271.2059999999974,3.288,4G
272.2059999999974,3.355,4G
273.2059999999974,5.245,4G
275.2059999999974,6.721,4G
278.2059999999974,2.941,4G
279.2059999999974,4.328,4G
280.2059999999974,5.055,4G
281.2059999999974,1.241,4G
284.2059999999974,1.74144255744,3G
285.2079999999978,3.34833532934,3G
286.2159999999958,3.28506349206,3G
287.2659999999951,2.71878857143,3G
290.2779999999939,3.65394605395,3G
291.3949999999959,2.1232515667,3G
292.3959999999961,2.95318281718,3G
293.4069999999947,2.99954104847,3G
296.6419999999989,0.011,5G
298.6419999999989,2.286,5G
299.6419999999989,2.585,5G
301.6419999999989,178.634,5G
302.6419999999989,236.168,5G
303.6419999999989,241.605,5G
305.6419999999989,250.376,5G
308.6419999999989,7.831,5G
309.6419999999989,7.665,5G
310.6419999999989,3.893,5G
311.6419999999989,4.894,5G
314.6419999999989,14.473,5G
315.6419999999989,14.369,5G
316.6419999999989,16.038,5G
317.6419999999989,16.916,5G
320.6419999999989,2.35816848365,3G
321.6429999999991,2.73780619381,3G
322.6449999999995,2.52755289421,3G
323.6509999999971,2.78495427435,3G
326.6549999999979,1.18466600595,3G
327.65599999999813,1.18730869131,3G
328.66499999999814,1.30669573835,3G
329.78599999999733,1.34502765388,3G
332.79699999999775,4.965,4G
333.79699999999775,6.285,4G
334.79699999999775,10.669,4G
335.79699999999775,4.003,4G
338.79699999999775,2.359,4G
339.79699999999775,0.011,4G
340.79699999999775,1.196,4G
341.79699999999775,3.724,4G
344.79699999999775,222.065,5G
345.79699999999775,218.527,5G
346.79699999999775,233.846,5G
347.79699999999775,50.377,5G
350.79699999999775,0.961,4G
351.79699999999775,1.107,4G
352.79699999999775,2.572,4G
353.79699999999775,2.281,4G
356.79699999999775,2.527,4G
357.79699999999775,3.053,4G
358.79699999999775,7.94,4G
359.79699999999775,0.033,4G
362.79699999999775,21.548,5G
363.79699999999775,21.048,5G
364.79699999999775,25.233,5G
365.79699999999775,94.775,5G
368.79699999999775,12.629,5G
369.79699999999775,18.191,5G
370.79699999999775,15.688,5G
371.79699999999775,15.032,5G
374.79699999999775,2.52553846154,3G
375.79799999999796,2.72018381618,3G
376.80499999999756,2.65756504469,3G
377.8179999999966,2.2764225074,3G
380.8269999999966,4.059,4G
381.8269999999966,3.064,4G
382.8269999999966,2.896,4G
383.8269999999966,6.05,4G
386.8269999999966,21.216,4G
387.8269999999966,14.771,4G
389.8269999999966,22.218,4G
390.8269999999966,18.241,4G
394.8269999999966,33.174,5G
395.8269999999966,63.711,5G
396.8269999999966,63.473,5G
397.8269999999966,53.236,5G
400.8269999999966,42.007,4G
401.8269999999966,41.66,4G
402.8269999999966,43.17,4G
403.8269999999966,42.074,4G
406.8269999999966,8.287,4G
406.8269999999966,8.287,4G
407.8269999999966,9.282,4G
408.8269999999966,7.034,4G
409.8269999999966,6.207,4G
412.8269999999966,12.682,4G
414.8269999999966,11.91,4G
415.8269999999966,9.361,4G
417.8269999999966,2.527,4G
418.8269999999966,6.207,4G
419.8269999999966,5.368,4G
420.8269999999966,9.853,4G
423.8269999999966,1.21235928144,3G
424.8349999999964,1.03822222222,3G
425.836999999995,0.524263473054,3G
426.845999999995,1.90896333003,3G
429.8639999999932,13.184,5G
430.8639999999932,13.31,5G
431.8639999999932,19.231,5G
432.8639999999932,39.32,5G
435.8639999999932,3.74071385842,3G
436.8759999999934,5.54137549407,3G
437.87799999999334,4.93496207585,3G
438.87899999999354,5.47107292707,3G
441.90499999999383,4.015,4G
442.90499999999383,2.751,4G
443.90499999999383,3.075,4G
444.90499999999383,1.23,4G
447.90499999999383,7.158,4G
448.90499999999383,5.122,4G
449.90499999999383,5.491,4G
450.90499999999383,5.603,4G
453.90499999999383,1.062,4G
453.90499999999383,1.219,4G
454.90499999999383,2.292,4G
455.90499999999383,2.103,4G
456.90499999999383,2.103,4G
459.90499999999383,1.17474851485,3G
460.91499999999223,1.13774257426,3G
461.92499999999427,0.888522772277,3G
462.9459999999949,0.675290891283,3G
465.97599999999375,11.519,5G
466.97599999999375,9.711,5G
468.97599999999375,21.277,5G
469.97599999999375,32.968,5G
473.97599999999375,2.684,4G
474.97599999999375,3.69,4G
475.97599999999375,4.317,4G
477.97599999999375,3.332,4G
480.97599999999375,59.489,5G
481.97599999999375,60.126,5G
482.97599999999375,58.202,5G
483.97599999999375,50.635,5G
486.97599999999375,28.814,5G
487.97599999999375,27.483,5G
488.97599999999375,27.593,5G
489.97599999999375,23.937,5G
492.97599999999375,120.178,5G
493.97599999999375,132.166,5G
495.97599999999375,121.076,5G
496.97599999999375,131.168,5G
500.97599999999375,14.103,4G
501.97599999999375,17.111,4G
502.97599999999375,21.831,4G
503.97599999999375,28.988,4G
506.97599999999375,106.515,5G
507.97599999999375,117.753,5G
508.97599999999375,111.316,5G
509.97599999999375,119.412,5G
512.9759999999937,4.697,4G
513.9759999999937,3.5,4G
514.9759999999937,6.822,4G
515.9759999999937,8.678,4G
518.9759999999937,0.856125613346,3G
519.9859999999958,0.994479207921,3G
520.9869999999996,0.914133866134,3G
521.9959999999978,0.618243805748,3G
525.0170000000057,0.180104549855,3G
526.0400000000031,0.171167155425,3G
527.0440000000003,0.131196803197,3G
528.0760000000032,0.180279069767,3G
531.1259999999952,48.633,5G
532.1259999999952,48.745,5G
533.1259999999952,42.902,5G
534.1259999999952,39.238,5G
537.1259999999952,6.628,5G
538.1259999999952,6.9,5G
539.1259999999952,8.777,5G
540.1259999999952,8.823,5G
543.1259999999952,0.49843960396,3G
544.1359999999936,0.84518019802,3G
545.155999999994,0.847623529412,3G
546.1659999999943,0.578788118812,3G
549.2059999999915,3.142,4G
550.2059999999915,3.612,4G
551.2059999999915,3.332,4G
552.2059999999915,5.088,4G
555.2059999999915,0.155454545455,3G
556.2479999999928,0.15754318618,3G
557.2649999999926,0.182938053097,3G
558.2889999999902,0.12825,3G
561.3899999999926,1.10423976024,3G
562.3979999999942,0.897825396825,3G
563.4189999999912,1.25411165524,3G
